"release_group","worldwide","avg_domestic_percent","avg_foreign_percent","rating","vote_count"
"My Country, My Parents","221831086.00000000","0.00000000000000000000","99.9000000000000000","5.700","19.0"
"Personal Tailor","116126458.000000000000","0.30000000000000000000","99.7000000000000000","4.588","40.0"
"New Happy Dad and Son 4","8070000.000000000000","0.00000000000000000000","100.0000000000000000","1.000","0.0"
"Red Dog","21185162.000000000000","0.00000000000000000000","100.0000000000000000","7.300","398.0"
"Ponniyin Selvan: Part I","21888295.000000000000","19.6000000000000000","80.4000000000000000","7.090","78.0"
"Never Gone","48980792.000000000000","0.20000000000000000000","99.8000000000000000","6.400","50.0"
"Plane","74515586.000000000000","43.1000000000000000","56.9000000000000000","6.950","2236.0"
"Pokémon the Movie 2000","133949270.000000000000","32.7000000000000000","67.3000000000000000","6.687","847.0"
"Le coeur des hommes","8755325.000000000000","0.00000000000000000000","100.0000000000000000","6.445","190.0"
"Three Billboards Outside Ebbing, Missouri","160060063.000000000000","34.1000000000000000","65.9000000000000000","8.069","10107.0"
"Alienoid: The Return to the Future","10824208.000000000000","0.60000000000000000000","99.4000000000000000","6.600","640.0"
"Integrity","21290004.000000000000","0.00000000000000000000","100.0000000000000000","5.200","18.0"
"Darkness Falls","47488536.000000000000","68.5000000000000000","31.5000000000000000","5.592","592.0"
"The Left Ear","78015473.000000000000","0.00000000000000000000","100.0000000000000000","6.400","31.0"
"Zombieland","102392080.000000000000","73.8000000000000000","26.2000000000000000","7.261","12276.0"
"Argo","232325503.00000000","58.5000000000000000","41.5000000000000000","7.300","8269.0"
"Alex & Emma","15368897.000000000000","92.5000000000000000","7.5000000000000000","5.300","201.0"
"Bullet Train","239268602.00000000","43.2000000000000000","56.8000000000000000","7.447","6282.0"
"The Bourne Ultimatum","442824138.00000000","51.4000000000000000","48.6000000000000000","7.428","7673.0"
"Perfect Days","25637623.000000000000","14.7000000000000000","85.3000000000000000","7.800","1234.0"
"Halloween Kills","131647155.000000000000","69.9000000000000000","30.1000000000000000","6.400","2675.0"
"Delicious","8371523.000000000000","0.00000000000000000000","100.0000000000000000","6.900","262.0"
"The Boss Baby: Family Business","146745280.000000000000","39.0000000000000000","61.0000000000000000","7.357","2534.0"
"Autumn in New York","90726668.000000000000","41.6000000000000000","58.4000000000000000","6.100","709.0"
"Evan Almighty","174440724.000000000000","57.6000000000000000","42.4000000000000000","5.600","4275.0"
"Pain and Glory","37359689.000000000000","12.2000000000000000","87.8000000000000000","7.387","1771.0"
"Torrente 3: El protector","21762391.000000000000","0.00000000000000000000","100.0000000000000000","5.400","154.0"
"Fright Night","41002607.000000000000","44.6000000000000000","55.4000000000000000","6.225","1928.0"
"All About the Benjamins","26306533.000000000000","98.5000000000000000","1.50000000000000000000","5.883","163.0"
"Masquerade","94268432.000000000000","1.00000000000000000000","99.0000000000000000","7.700","147.0"
"The Gift","58978653.000000000000","74.2000000000000000","25.8000000000000000","6.694","3203.0"
"30 Days of Night","75513170.000000000000","52.4000000000000000","47.6000000000000000","6.400","2771.0"
"Two Is a Family","49619118.000000000000","0.00000000000000000000","100.0000000000000000","7.744","2965.0"
"HOUBA! On the Trail of the Marsupilami","50146474.000000000000","0.00000000000000000000","100.0000000000000000","5.300","840.0"
"The Twilight Saga: Breaking Dawn - Part 1","712205856.00000000","39.5000000000000000","60.5000000000000000","6.199","8768.0"
"The Sisterhood of the Traveling Pants 2","44352417.000000000000","99.4000000000000000","0.60000000000000000000","6.300","768.0"
"Bigfoot Family","11128253.000000000000","0.00000000000000000000","100.0000000000000000","7.070","199.0"
"Clockstoppers","38793283.000000000000","95.4000000000000000","4.6000000000000000","5.300","319.0"
"Stan & Ollie","24420923.000000000000","22.4000000000000000","77.6000000000000000","6.969","1037.0"
"Into the Storm","161502194.000000000000","29.5000000000000000","70.5000000000000000","6.000","2027.0"
"Little White Lies 2","23623665.000000000000","0.00000000000000000000","100.0000000000000000","6.658","692.0"
"Promising Young Woman","18854166.000000000000","34.3000000000000000","65.7000000000000000","7.433","3238.0"
"The Lord of the Rings: The Fellowship of the Ring","868385360.00000000","36.1000000000000000","63.9000000000000000","8.400","25348.0"
